               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.028415,            0.022556,          0.00090183,             0.76034,             0.73298,             0.78694,             0.57712,            0.031719,             0.01183,          0.00074191,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028289,            0.022421,          0.00089732,             0.75956,             0.73382,             0.78671,             0.57733,            0.031713,            0.011834,          0.00074868,            0.007624,            0.007624,            0.007624
                 122,            0.028367,             0.02249,          0.00089536,             0.75915,             0.73451,             0.78652,             0.57732,            0.031696,            0.011839,          0.00075054,           0.0076042,           0.0076042,           0.0076042
                 123,              0.0283,            0.022377,          0.00089609,             0.75928,             0.73529,             0.78637,             0.57731,             0.03169,            0.011845,          0.00075015,           0.0075844,           0.0075844,           0.0075844
                 124,            0.028297,            0.022325,          0.00090297,              0.7576,             0.73789,              0.7862,             0.57737,            0.031661,            0.011846,          0.00074919,           0.0075646,           0.0075646,           0.0075646
                 125,              0.0283,             0.02229,          0.00092107,             0.76011,             0.73602,             0.78666,             0.57775,            0.031658,            0.011846,          0.00075578,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028272,            0.022473,          0.00089513,             0.76042,             0.73623,             0.78661,             0.57792,            0.031654,            0.011844,          0.00076462,            0.007525,            0.007525,            0.007525
                 127,            0.028161,            0.022166,          0.00088471,             0.75796,             0.74054,             0.78713,             0.57788,            0.031649,            0.011841,          0.00076785,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028154,            0.022382,          0.00090168,               0.761,             0.73978,             0.78738,              0.5782,            0.031634,            0.011846,          0.00077779,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028161,            0.022184,           0.0008835,             0.76023,             0.74127,             0.78679,             0.57835,             0.03162,            0.011848,          0.00077845,           0.0074656,           0.0074656,           0.0074656
                 130,            0.028108,            0.022229,          0.00091871,             0.76256,             0.73749,             0.78662,             0.57884,            0.031608,            0.011845,          0.00077688,           0.0074458,           0.0074458,           0.0074458
